vidid,ad_view
VID_1054,1442
VID_18629,9
VID_13967,82
VID_19442,72
VID_770,6
VID_10315,190
VID_7417,137
VID_17788,94
VID_14591,151
VID_1228,1806
VID_10153,123
VID_5667,578
VID_22775,1900
VID_8353,1
VID_486,3
VID_17460,17
VID_5867,42
VID_15951,6
VID_14890,156
VID_7219,5
VID_20045,288
VID_11874,483
VID_1208,3882
VID_4529,2
VID_6793,139
VID_18254,532
VID_11155,1
VID_12257,13
VID_4207,4
VID_23276,94
VID_18261,44
VID_11536,1029
VID_6429,44
VID_9277,3
VID_517,3
VID_11291,5
VID_11265,6196
VID_632,79
VID_13587,9
VID_16439,4021
VID_14888,268
VID_3207,88
VID_9352,1
VID_3286,21
VID_19592,5784
VID_15582,4
VID_15269,228
VID_5703,16
VID_22315,8
VID_14939,29
VID_18277,264
VID_1684,26
VID_14842,114
VID_635,172
VID_19621,946
VID_2006,548
VID_2427,752
VID_3232,36
VID_17944,13
VID_19507,42
VID_6745,93
VID_8446,671
VID_17593,56
VID_21611,12368
VID_16242,124
VID_23409,166
VID_22950,415
VID_15401,104
VID_7634,137
VID_4283,2656
VID_20020,42
VID_13334,2395
VID_17504,450
VID_22854,243
VID_4396,14
VID_7426,1
VID_1941,68
VID_22447,89
VID_13156,1
VID_6361,485
VID_1601,17
VID_5787,9437
VID_15044,25
VID_18511,42
VID_17965,10
VID_20023,964
VID_20294,1
VID_4284,2099
VID_6333,33
VID_4459,10
VID_7896,5
VID_14003,141
VID_22518,1457
VID_12272,6
VID_1002,271
VID_2801,1
VID_85,2062
VID_17535,18
VID_16710,12702
VID_7899,13
VID_3336,40
VID_966,8
VID_15920,331
VID_9048,14
VID_10819,1318
VID_9004,55
VID_8038,1887
VID_22273,35
VID_9597,2
VID_405,3
VID_6857,2
VID_745,9
VID_22181,505
VID_2452,503
VID_16534,2285
VID_8504,2322
VID_6211,4
VID_7421,62
VID_19004,102
VID_21560,140
VID_6904,217
VID_10068,200
VID_3831,1056
VID_523,734
VID_21181,5
VID_9556,300
VID_1140,277
VID_18078,70
VID_13326,750
VID_21883,3
VID_18044,7024
VID_11715,1
VID_7741,3
VID_23167,23
VID_4147,3
VID_12377,3
VID_16014,3
VID_21928,32
VID_22002,3
VID_19194,28
VID_17892,2
VID_19234,3
VID_1790,3083
VID_7878,2
VID_6945,23
VID_17600,12
VID_7502,2
VID_11761,7
VID_578,74
VID_2068,163
VID_10591,100
VID_1300,73
VID_2950,353
VID_12930,362
VID_22247,3203
VID_4330,674
VID_14398,14
VID_8506,11485
VID_12462,6
VID_21697,1873
VID_14574,23
VID_14171,9
VID_22620,697
VID_5642,376
VID_12689,4
VID_3676,14
VID_23515,2027
VID_11336,484
VID_8360,9
VID_14293,1118
VID_7088,5
VID_11588,1214
VID_12193,235
VID_18944,115
VID_14220,12
VID_2589,1
VID_17644,130
VID_20263,559
VID_15204,18
VID_6855,162
VID_19306,2422
VID_20132,2385
VID_18477,5
VID_4562,328
VID_17001,3
VID_6858,2103
VID_20250,7
VID_22484,2397
VID_2358,206
VID_17132,11461
VID_19635,30258
VID_20188,2222
VID_1272,1200
VID_2390,2
VID_10914,384
VID_9647,26
VID_11219,1107
VID_13260,34
VID_21600,6428
VID_12441,18
VID_15261,6296
VID_11540,43
VID_20101,24
VID_3909,543
VID_14409,19
VID_10430,36
VID_8148,2
VID_9579,8
VID_12302,16
VID_7161,186
VID_17471,526
VID_13296,437
VID_1935,7635
VID_23277,2911
VID_20389,941
VID_2988,221
VID_5453,34
VID_6553,257
VID_18356,97
VID_15268,204
VID_21503,7402
VID_6901,1874
VID_5796,3
VID_21475,321
VID_19600,1671
VID_7977,203
VID_4704,7
VID_20858,25
VID_23644,6
VID_12962,19
VID_4894,2
VID_4803,3
VID_8408,17
VID_12226,6
VID_1299,625
VID_7721,54
VID_1919,238
VID_23316,444
VID_17849,4935
VID_1313,976
VID_9117,2
VID_9152,340
VID_15543,7
VID_11505,647
VID_647,144
VID_2236,6
VID_14118,270
VID_1225,8
VID_11257,395
VID_13130,10
VID_12580,5
VID_860,14471
VID_14251,68
VID_6476,17
VID_13070,349
VID_4623,20092
VID_13599,693
VID_11705,998
VID_11736,255
VID_14145,32
VID_13264,8
VID_10476,3
VID_22755,650
VID_13294,876
VID_964,4116
VID_23498,709
VID_12090,1749
VID_7494,64
VID_141,135
VID_242,24
VID_8088,80
VID_10154,10
VID_3878,1956
VID_4799,22
VID_12287,2
VID_15607,325
VID_9974,4
VID_20032,2172
VID_9920,3
VID_7959,283
VID_21506,43
VID_15898,1145
VID_4349,64
VID_16235,206
VID_6391,102
VID_4940,213
VID_16185,236
VID_6988,688
VID_877,5
VID_23610,139
VID_17702,4
VID_18664,61
VID_9915,2543
VID_4438,5
VID_15812,2
VID_15966,13
VID_2832,40
VID_20533,2054
VID_12692,2
VID_11340,338
VID_10760,1
VID_19631,184
VID_7012,12
VID_7799,7
VID_3963,4
VID_501,202
VID_9202,333
VID_14268,10357
VID_21714,1680
VID_23154,12
VID_4429,452
VID_16062,2596
VID_6282,13
VID_13205,928
VID_8515,16
VID_9480,119
VID_21979,4
VID_18494,10972
VID_20589,132
VID_15916,1955
VID_17023,520
VID_8425,2
VID_3586,480
VID_5788,3
VID_12137,5
VID_14347,8
VID_19044,6985
VID_11039,31
VID_3484,2
VID_15142,13
VID_3351,11
VID_5895,8
VID_16112,97
VID_19247,18
VID_11439,12
VID_18883,97
VID_12140,33149
VID_17446,97
VID_5115,87
VID_21486,427
VID_17120,1491
VID_3959,1
VID_15956,9
VID_15739,13
VID_2682,1035
VID_14621,2
VID_9320,13
VID_12110,111
VID_11354,38
VID_811,239
VID_9472,173
VID_4773,1540
VID_12695,428
VID_19547,418
VID_530,1161
VID_155,2857
VID_22955,2000
VID_20307,1570
VID_11612,1
VID_15674,49
VID_13000,53
VID_1455,3
VID_23534,285
VID_18740,2317
VID_17988,2104
VID_21728,16
VID_10905,7217
VID_18445,1187
VID_21983,8
VID_16023,29
VID_1444,148
VID_1814,10
VID_19094,10
VID_19355,7726
VID_20430,1112
VID_13461,4
VID_9066,15
VID_3020,1748
VID_13577,20
VID_5062,255
VID_9293,220
VID_16663,397
VID_20444,450
VID_22353,14265
VID_22384,8
VID_23036,197
VID_12705,12
VID_11785,148
VID_22988,15133
VID_9495,17
VID_8909,27
VID_13459,29019
VID_22206,1225
VID_12228,29
VID_2335,104
VID_17498,589
VID_18702,4
VID_10850,2387
VID_12956,110
VID_6246,31
VID_9539,18
VID_17436,879
VID_8383,9
VID_4554,17
VID_18487,2040
VID_6285,10
VID_287,3553
VID_5371,6
VID_10704,114
VID_20810,24
VID_7972,1
VID_10923,8
VID_11876,8503
VID_15477,149
VID_12366,1
VID_6538,1052
VID_10092,3
VID_6826,4160
VID_22526,42
VID_10897,1
VID_3400,5
VID_9995,1221
VID_19337,12
VID_9673,176
VID_12280,10191
VID_14038,23
VID_11157,1
VID_13406,213
VID_7774,17
VID_7386,1105
VID_2419,230
VID_6334,135
VID_1778,5
VID_4907,5
VID_7122,341
VID_10445,102
VID_18113,10
VID_6716,572
VID_5803,2
VID_6459,6
VID_14427,1072
VID_3872,246
VID_6774,565
VID_11609,1050
VID_21821,201
VID_14317,102
VID_4982,5
VID_5798,2
VID_4365,70
VID_6535,2
VID_7237,10874
VID_10388,6
VID_17934,3
VID_838,147
VID_5439,1399
VID_11455,3589
VID_7473,12
VID_16677,2327
VID_18433,5
VID_10243,466
VID_23592,619
VID_19401,19
VID_2547,95
VID_4525,76
VID_13804,2
VID_22266,2637
VID_7560,2045
VID_10381,16
VID_4977,1042
VID_14081,20
VID_19054,13
VID_2608,14
VID_8639,9
VID_4407,4
VID_9135,2491
VID_9462,671
VID_10687,17449
VID_15274,2144
VID_22631,53
VID_3777,29
VID_10585,5414
VID_18024,50
VID_10941,21
VID_525,2
VID_17097,3978
VID_13836,18
VID_12202,150
VID_20868,10573
VID_17084,3482
VID_23196,1136
VID_7322,59
VID_17922,3
VID_5486,7
VID_15289,1230
VID_7993,7
VID_14078,48
VID_21530,453
VID_11469,607
VID_20959,22
VID_18159,16
VID_19624,2472
VID_19029,301
VID_3489,28
VID_15983,22
VID_23605,1969
VID_23757,4
VID_7488,121
VID_15445,8
VID_4538,487
VID_22661,83
VID_5912,42
VID_3324,6
VID_21241,752
VID_18194,10
VID_8640,69
VID_10657,122070
VID_3622,556
VID_14909,612
VID_5961,2
VID_117,749
VID_4690,10
VID_10717,6
VID_20280,13708
VID_6395,9
VID_9199,4
VID_6343,15
VID_7459,13
VID_18041,10
VID_12175,338
VID_8174,8
VID_15644,29
VID_3021,7455
VID_251,10
VID_20609,2493
VID_2033,8
VID_20357,6
VID_16428,2469
VID_12297,16
VID_1214,6299
VID_19907,9
VID_4697,72
VID_22474,12537
VID_4002,2
VID_17351,57
VID_937,41
VID_17501,694
VID_2312,3
VID_22996,682
VID_14413,1
VID_7938,1
VID_616,117
VID_22499,123
VID_21393,5
VID_23320,8
VID_22780,4697
VID_10862,658
VID_21132,673
VID_1416,317
VID_624,428
VID_10127,1578
VID_15874,55
VID_6946,4
VID_8674,28
VID_22878,368
VID_560,121
VID_13640,19080
VID_9765,2253
VID_22398,2803
VID_20560,1608
VID_4068,2
VID_938,11727
VID_19068,254
VID_8889,6
VID_23347,91
VID_16952,4
VID_6032,25
VID_5116,326
VID_4210,3
VID_22022,2186
VID_16770,376
VID_18981,6307
VID_1668,522
VID_23726,9
VID_18550,142
VID_5518,6
VID_12958,128
VID_16501,1046
VID_21485,214
VID_14475,178
VID_3865,3
VID_21642,6357
VID_22934,7074
VID_14667,154
VID_5519,11
VID_17889,91
VID_17728,66
VID_8727,592
VID_14785,22
VID_16387,11
VID_10703,5
VID_7213,401
VID_14454,10
VID_13455,16
VID_5467,486
VID_21139,14
VID_9033,1134
VID_3863,241
VID_13990,67
VID_2641,3
VID_15745,426
VID_5929,2
VID_769,2
VID_5499,2
VID_8609,239
VID_3903,11
VID_19579,2
VID_10506,818
VID_23577,7
VID_9042,29
VID_10606,5
VID_14849,88
VID_10497,125
VID_21208,148
VID_12837,2
VID_7924,7
VID_21109,140
VID_6848,3628
VID_8993,224
VID_10584,609
VID_19794,496
VID_15209,15
VID_6195,1
VID_22498,135
VID_9814,104
VID_18155,2
VID_20573,1401
VID_4092,611
VID_15455,55
VID_8989,10
VID_1852,336
VID_17278,1
VID_12619,18
VID_22663,644
VID_15372,11
VID_13978,58
VID_17325,29
VID_19025,747
VID_21374,1807
VID_10207,5
VID_11924,63
VID_8975,231
VID_8851,23
VID_12210,34
VID_8178,2
VID_19252,1336
VID_5421,13
VID_6757,6
VID_8125,74
VID_14709,11
VID_5795,2
VID_21888,1098
VID_14058,4
VID_8028,334
VID_22918,9350
VID_11731,5
VID_22841,8
VID_7453,3
VID_11870,200
VID_20484,4071
VID_1971,27
VID_599,72
VID_16812,3
VID_5401,1
VID_16289,24
VID_12150,348
VID_13299,35
VID_19015,247
VID_1604,9
VID_18013,28
